"id"	"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"padj"
"ENSMUSG00000000278"	5283.62961542768	4316.0263735092	6251.23285734617	1.44837689030698	0.534437063074549	0.273708290842317	0.951335612830576
"ENSMUSG00000097268"	45.2988311798285	28.6036081704279	61.9940541892291	2.16735083979098	1.11593270851119	0.27380646188798	0.95156940383871
"ENSMUSG00000034269"	1603.94347678328	1862.09118823121	1345.79576533535	0.722733544866682	-0.468464237963986	0.274153180154969	0.952559317301791
"ENSMUSG00000043458"	32.5413563474022	43.1034705790315	21.9792421157729	0.50991815323718	-0.971662395636183	0.274132008391633	0.952559317301791
"ENSMUSG00000000711"	2134.24895914186	1792.92030532482	2475.57761295891	1.38075161824351	0.465453818251289	0.275323792277131	0.952569078320168
"ENSMUSG00000000708"	1597.46627384074	1369.19618121271	1825.73636646877	1.33343664810086	0.4151492837251	0.27461109531744	0.952569078320168
"ENSMUSG00000004651"	155.211066578232	119.97842855117	190.443704605295	1.58731621096431	0.666589557629569	0.275375834001928	0.952569078320168
"ENSMUSG00000020599"	75.3398502256588	55.8073244346439	94.8723760166736	1.69999864673281	0.765533597920248	0.274844731697242	0.952569078320168
"ENSMUSG00000019039"	49.2047577099015	34.8523873745182	63.5571280452848	1.82360902173817	0.866796451617753	0.274689261448158	0.952569078320168
"ENSMUSG00000019923"	11178.190394983	12873.9171669709	9482.46362299499	0.736563976605584	-0.441117254320001	0.275116718325779	0.952569078320168
"ENSMUSG00000021640"	15.2289011019719	8.20428371948168	22.2535184844622	2.71242673283221	1.43958416848533	0.27550442709614	0.952569078320168
"ENSMUSG00000024997"	8527.29208575397	7020.37704833733	10034.2071231706	1.42929746566063	0.515306201649062	0.27533362085557	0.952569078320168
"ENSMUSG00000030924"	223.477708598057	178.758883749501	268.196533446613	1.50032562198388	0.585275648880639	0.275432123572503	0.952569078320168
"ENSMUSG00000038801"	92.12864274139	72.3892388248707	111.868046657909	1.54536846185865	0.627950860601609	0.27535598485302	0.952569078320168
"ENSMUSG00000039065"	332.054071214122	271.814392946644	392.2937494816	1.44324126926791	0.529312497944351	0.274684431767784	0.952569078320168
"ENSMUSG00000031617"	1164.7073920372	1395.57922751288	933.835556561524	0.669138332064281	-0.57962360247669	0.275036920994392	0.952569078320168
"ENSMUSG00000036371"	5645.60022650343	6789.89614267067	4501.30431033619	0.662941555475058	-0.593046406062149	0.27464898358198	0.952569078320168
"ENSMUSG00000035268"	1677.72913257832	1920.33701689413	1435.12124826252	0.747327805295149	-0.420186894258599	0.274986000719549	0.952569078320168
"ENSMUSG00000022685"	658.241522187152	757.039008088317	559.444036285986	0.738989708996237	-0.436373821021309	0.274575657146801	0.952569078320168
"ENSMUSG00000038683"	1506.92873002122	1713.39572033948	1300.46173970295	0.758996724612621	-0.397834435063913	0.275250153660189	0.952569078320168
"ENSMUSG00000061410"	764.826476008187	881.04974661806	648.603205398314	0.736170923251496	-0.441887326568939	0.274520461498486	0.952569078320168
"ENSMUSG00000052273"	31.3046068503018	21.7662678609897	40.8429458396139	1.87643311662144	0.907992867875714	0.274793208423099	0.952569078320168
"ENSMUSG00000073290"	5.91763967182512	1.30366967692759	10.5316096667226	8.07843417171662	3.01407568510388	0.275139997184561	0.952569078320168
"ENSMUSG00000054648"	73.879318831812	95.701043565609	52.0575940980149	0.543960568855513	-0.878426019107341	0.274801286988911	0.952569078320168
"ENSMUSG00000049811"	114.717343456638	90.3242456362777	139.110441276999	1.54012292377371	0.623045503154824	0.275269516163035	0.952569078320168
"ENSMUSG00000052005"	3448.80985366165	2653.38059078078	4244.23911654253	1.59955911763628	0.677674313581808	0.275110010711647	0.952569078320168
"ENSMUSG00000069441"	77.0847306141706	136.998012554766	17.1714486735754	0.125340859720217	-2.99607130108576	0.274617158506448	0.952569078320168
"ENSMUSG00000036186"	81.8657538956623	98.7044995662436	65.0270082250809	0.658804902621884	-0.602076803693827	0.274602080820092	0.952569078320168
"ENSMUSG00000065145"	135.533299855624	168.866041435954	102.200558275295	0.605216758835766	-0.724476157639227	0.275517332806324	0.952569078320168
"ENSMUSG00000034898"	296.347628134628	355.100249344494	237.595006924763	0.669092762856003	-0.579721855268863	0.275214887390735	0.952569078320168
"ENSMUSG00000021311"	139.6057120061	109.323678181012	169.887745831188	1.55398856549537	0.635975888196192	0.274880837442649	0.952569078320168
"ENSMUSG00000022708"	8429.98343570234	6859.72788406689	10000.2389873378	1.45781861268366	0.54381122524708	0.275114662209245	0.952569078320168
"ENSMUSG00000059689"	1170.66244412039	1364.16198454116	977.162903699611	0.716310023862951	-0.481343963983109	0.274454626757318	0.952569078320168
"ENSMUSG00000001632"	2662.47170649614	2209.47162295462	3115.47179003765	1.41005286407412	0.49574925149492	0.2748775643775	0.952569078320168
"ENSMUSG00000071350"	9.89030467348922	4.21352670749884	15.5670826394796	3.69454941670947	1.8853984255576	0.275252813170251	0.952569078320168
"ENSMUSG00000030125"	21.2487026879081	31.4172429717149	11.0801624041012	0.35267774495925	-1.50357755470566	0.275072460062527	0.952569078320168
"ENSMUSG00000053216"	4.53772196836241	1.01762624829573	8.0578176884291	7.91824867128179	2.98518137567713	0.27467346647349	0.952569078320168
"ENSMUSG00000004500"	73.2261640566762	91.5481673320052	54.9041607813473	0.599729763920166	-0.737615520958996	0.275478254620393	0.952569078320168
"ENSMUSG00000049565"	39.4011873849265	25.0419163013928	53.7604584684602	2.146818870466	1.10220047452046	0.275122398227079	0.952569078320168
"ENSMUSG00000078925"	9.04451201035613	0.508813124147863	17.5802108965644	34.5514100604361	5.11067268381314	0.274313999756491	0.952569078320168
